es,57,"(60.34825, 24.372350000000001)"
85,0,"(49.946399999999997, 18.191700000000001)"
rp,197,"(49.198886000000002, 8.1185619999999989)"
rs,20,"(-30.024387000000001, -51.165134000000002)"
wgn,499,"(-41.286459999999998, 174.77623600000001)"
smo,0,"(54.783332999999999, 32.049999999999997)"
re,1,"(44.598234000000012, 10.690927)"
rg,0,"(36.926926999999999, 14.725512999999999)"
ra,2,"(44.41836, 12.203529)"
7,17,"(47.269212000000003, 11.404102)"
rm,195,"(41.892916, 12.482519999999999)"
rn,12,"(44.057082000000001, 12.5646)"
ro,5,"(-8.7611429999999988, -63.900398000000003)"
ri,263,"(41.740679999999998, -71.308608999999976)"
rj,32,"(-22.91123, -43.445215000000012)"
pun,0,"(-15.843332999999999, -70.023611000000002)"
ast,1,"(46.366667, 48.083333000000003)"
pue,20,"(19.041307, -98.206192999999999)"
que,6,"(20.588792999999999, -100.389888)"
ntl,69,"(-35.725112000000003, 174.32370800000001)"
qui,9,"(4.5286109999999997, -75.704166999999998)"
gis,127,"(-38.662334000000001, 178.01764900000001)"
e7,3,"(-36.866700000000002, 174.76669999999999)"
ore,0,"(51.783332999999999, 55.100000000000001)"
e2,0,"(33.888628999999995, 35.495479000000003)"
g,14,"(53.270558999999999, -9.0566680000000002)"
atl,22,"(10.892379999999999, -74.878258000000002)"
wls,21,"(51.62144, -3.9436460000000002)"
w,15,"(-29.791542, -58.049931000000008)"
yuc,7,"(20.969999999999999, -89.620000000000005)"
wlg,1,"(50.632556999999998, 5.5796660000000005)"
zac,1,"(22.768044, -102.581442)"
2,1,"(46.62529, 13.372769999999999)"
tol,13,"(4.4406629999999998, -75.244140999999999)"
kos,1,"(57.766667000000012, 40.933333000000012)"
fo,6,"(44.222594000000001, 12.041005999999999)"
060,86,"(55.403756000000008, 10.402369999999999)"
hui,7,"(2.9986109999999999, -75.304443999999975)"
wx,2,"(52.502197000000002, -6.5661300000000002)"
qld,2539,"(-27.471011000000001, 153.023449)"
11,346,"(37.566535000000002, 126.977969)"
10,214,"(54.783299999999997, 9.4332999999999991)"
13,92,"(35.646571999999999, 139.65324699999999)"
b,389,"(41.546273999999997, 2.1086130000000001)"
15,66,"(-12.050000000000001, -77.049999999999997)"
14,105,"(48.015883000000002, 37.802849999999999)"
17,11,"(-39.799999999999997, -73.2333)"
16,34,"(42.442574999999998, 19.268646)"
19,33,"(-32.292700000000004, -66.732900000000001)"
18,34,"(45.466700000000003, 9.1999999999999993)"
vwv,3,"(50.949909000000012, 3.1294470000000003)"
r,10,"(47.218371000000012, -1.5536209999999999)"
san,53,"(7.1133100000000002, -73.120468000000002)"
sam,0,"(53.233333000000002, 50.166666999999997)"
anc,0,"(-9.0745439999999995, -78.593571999999995)"
pri,0,"(44.166666999999997, 133.283333)"
ant,97,"(6.2359249999999999, -75.575136999999998)"
sk,101,"(52.134369999999997, -106.647656)"
lim,7,"(-12.033333000000001, -77.133332999999993)"
mic,3,"(19.420832999999998, -102.06277799999999)"
77,1,"(12.591063999999999, 99.940920000000006)"
76,0,"(54.0105, 38.284599999999998)"
75,0,"(56.494199999999999, 84.974199999999996)"
74,1,"(46.5214, 14.8544)"
73,0,"(13.840553, 100.05275)"
72,0,"(48.145892000000003, 17.107136999999998)"
tyu,0,"(57.166666999999997, 65.5)"
78,1,"(16.051570999999999, 108.21489699999999)"
tpe,25,"(25.066666999999999, 121.583333)"
ke,6,"(53.38129, -6.59185)"
kk,0,"(53.716667000000001, 91.450000000000003)"
mur,0,"(67.56666700000001, 33.399999999999999)"
m,304,"(40.416775000000001, -3.7037900000000001)"
kl,6,"(8.4874949999999991, 76.948622999999998)"
ks,5125,"(38.982228000000006, -94.670792000000006)"
kr,3,"(50.210360999999999, 15.825210999999999)"
kp,4,"(53.123480000000008, 18.008438000000002)"
ky,598,"(39.083671000000002, -84.508554000000004)"
tki,36,"(-39.055624999999999, 174.07522800000001)"
nle,33,"(25.673210999999998, -100.309201)"
d9,4,"(14.566700000000001, 121.0333)"
d7,0,"(46.362273999999999, 15.110658000000001)"
d1,0,"(46.056451000000003, 14.508070000000002)"
q3,0,"(52.583300000000001, -2.1333000000000002)"
jal,40,"(20.673590000000001, -103.34380299999999)"
8,30,"(47.412399999999998, 9.7437900000000006)"
dl,44,"(54.955839000000012, -7.734278999999999)"
dj,1,"(44.324759999999998, 23.813471)"
dk,0,"(31.040948, 31.37847)"
df,110,"(-15.794157, -47.882528999999998)"
de,180,"(39.683723000000001, -75.749656999999999)"
dc,778,"(4.5980559999999997, -74.075832999999975)"
da,0,"(42.983894999999997, 47.504921000000003)"
12,39,"(59.936132999999998, 5.9955940000000005)"
hid,7,"(20.119679999999999, -98.755127000000002)"
dr,1,"(52.785804000000013, 6.8975850000000003)"
ds,11,"(51.207006999999997, 16.155323000000006)"
shr,0,"(30.576537999999999, 31.504066000000002)"
h,4,"(-27.451656, -58.986252)"
stl,37,"(-46.413187000000001, 168.35377299999999)"
qc,128,"(45.606648999999997, -73.712408999999994)"
x,67,"(-31.39893, -64.182129000000003)"
j2,2,"(46.056451000000003, 14.508070000000002)"
are,1,"(-16.398821999999999, -71.536885999999996)"
02,70,"(22.201874, 113.544202)"
03,208,"(25.271139000000002, 55.307485)"
00,316,"(22.276022000000001, 114.175147)"
01,313,"(-33.008099999999999, -71.5197)"
06,86,"(52.366700000000002, 9.7166999999999994)"
07,94,"(-34.587499999999999, -58.672499999999999)"
04,118,"(9.9271279999999997, -84.082012000000006)"
05,30,"(24.893378999999999, 67.028060999999994)"
08,119,"(17.992730999999999, -76.792008999999993)"
09,13,"(46.4833, 15.6333)"
3,1,"(48.666069999999998, 15.657159999999999)"
irk,2,"(52.283332999999999, 104.3)"
kem,0,"(53.75, 87.116667000000007)"
wd,3,"(52.252270000000003, -7.1272060000000002)"
wc,28,"(-33.924867999999996, 18.424054999999999)"
wb,20,"(22.572645999999999, 88.363894999999999)"
wa,3042,"(47.606209, -122.332071)"
jt,0,"(-6.9666670000000002, 110.416667)"
wn,0,"(53.778421999999999, 20.480118999999998)"
26,22,"(59.350000000000001, 17.916699999999999)"
wi,2573,"(42.726131000000002, -87.782852000000005)"
wh,1,"(53.525933000000002, -7.3381380000000016)"
ww,0,"(52.980820999999999, -6.0445890000000002)"
wv,679,"(37.778170000000003, -81.188156000000006)"
jn,1,"(47.162135999999997, 20.182471)"
le,12,"(40.351514999999999, 18.175015999999999)"
jh,0,"(23.795653000000001, 86.430385999999999)"
ji,9,"(-7.2891660000000016, 112.734398)"
wp,11,"(52.406374, 16.925167999999999)"
lb,0,"(51.935621000000012, 15.506185999999998)"
wy,109,"(41.139980999999999, -104.820246)"
lc,1,"(45.790013000000002, 9.3455130000000004)"
oms,1,"(54.966667000000001, 73.383332999999993)"
c,219,"(-34.603722999999995, -58.381593000000002)"
cor,3,"(8.75, -75.883332999999993)"
jm,15,"(31.768319000000002, 35.213709999999999)"
23,7,"(30.899999999999999, 75.849999999999994)"
ili,2,"(10.72015, 122.562106)"
coa,6,"(25.542843999999999, -103.406786)"
tla,4,"(19.300000000000001, -98.239999999999995)"
nvs,1,"(55.016667000000012, 82.933332999999976)"
col,7,"(19.245225999999999, -103.73345500000001)"
cj,2,"(46.777248, 23.599889999999998)"
ch,8,"(30.733315000000001, 76.779418000000007)"
co,3487,"(38.742206000000003, -108.06895799999999)"
cn,46,"(28.487400999999998, -16.315905999999998)"
cm,67,"(40.631210000000003, -3.1622050000000002)"
cl,61,"(40.970103999999999, -5.6635400000000002)"
ca,7996,"(33.660297, -117.99922599999999)"
jk,53,"(-6.2087629999999985, 106.84559900000001)"
ce,15,"(-3.731903, -38.526738999999999)"
lk,34,"(52.668019999999999, -8.6304970000000001)"
60,10,"(39.416699999999999, -0.38329999999999997)"
61,5,"(46.056451000000003, 14.508070000000002)"
63,5,"(49.993499999999997, 36.230383000000003)"
64,0,"(41.709980999999999, 44.792997999999997)"
65,8,"(46.635416999999997, 32.616866999999999)"
67,0,"(41.456409000000001, 31.798731)"
68,2,"(49.422983000000002, 26.987133)"
69,0,"(10.823098999999999, 106.62966400000001)"
ct,1398,"(41.390914000000002, -72.859544999999997)"
pr,59,"(-25.424429, -49.265382000000002)"
ps,3,"(43.912475999999998, 12.915549)"
pv,214,"(42.849803000000001, -2.673)"
pt,1,"(43.930346999999998, 10.907859)"
pz,2,"(40.640407000000003, 15.805604000000001)"
z1,0,"(51.633299999999998, -3.9666999999999999)"
pb,11,"(-7.1194960000000016, -34.844867000000001)"
pc,0,"(45.057108999999997, 9.437144)"
pa,2997,"(40.310105999999998, -75.129893999999993)"
jb,4,"(-6.9147440000000016, 107.60981099999999)"
pd,40,"(53.132489, 23.168839999999999)"
pe,23,"(47.462140000000012, 18.952959)"
pk,5,"(49.682476000000001, 21.766052999999999)"
jc,0,"(48.975658000000003, 14.480255)"
pn,3,"(45.96264, 12.655136000000001)"
po,2,"(43.877704999999999, 11.102228)"
pl,1,"(49.738430999999999, 13.373637)"
pm,38,"(39.571190000000001, 2.6466340000000002)"
ota,32,"(-45.87876, 170.50279799999996)"
c3,0,"(52.200000000000003, 0.1167)"
c1,0,"(53.600000000000001, -2.2999999999999998)"
p3,0,"(52.183300000000003, -1.7)"
p8,1,"(51.438600000000001, -2.0042)"
slp,6,"(22.156469999999999, -100.985541)"
n,10,"(9.75, -63.183)"
33,2,"(39.665028999999997, 20.853746999999998)"
31,11,"(-26.648099999999999, 15.1594)"
va,5257,"(38.969555, -77.386098000000004)"
vc,11,"(39.984457999999997, -0.044949999999999997)"
vd,85,"(46.515262999999997, 6.4929209999999999)"
ve,5,"(45.440846999999998, 12.315515)"
wko,186,"(-37.787000999999997, 175.27925300000001)"
vi,26,"(45.563851, 11.375057)"
is,2,"(47.156944000000003, 27.590278000000001)"
vl,1,"(45.104722000000002, 24.375556)"
ris,27,"(4.8142779999999998, -75.694558000000001)"
vr,11,"(45.438355999999999, 10.991657999999999)"
vs,9,"(-32.880303000000005, -71.249716000000006)"
vt,1221,"(43.498000000000012, -73.183099999999996)"
il,8060,"(41.878113999999997, -87.629797999999994)"
in,623,"(40.416702000000001, -86.875287)"
ia,5259,"(42.534899000000003, -92.445316000000005)"
vy,0,"(49.564188000000001, 15.939406999999999)"
id,509,"(43.61871, -116.214607)"
s,43,"(-33.75, -61.965641000000012)"
9,63,"(48.208174, 16.373819000000001)"
pam,1,"(15.059393999999999, 120.656705)"
pan,0,"(16.050000000000001, 120.333333)"
i9,0,"(52.683300000000003, 0.93330000000000002)"
v4,1,"(55.933300000000003, -4.7000000000000002)"
nir,11,"(54.597284999999999, -5.9301199999999996)"
i,1,"(11.716666999999999, -70.18333299999999)"
49,2,"(41.331650000000003, 19.831800000000001)"
47,1,"(26.335799999999999, 127.8014)"
y,3,"(62.390810999999999, 17.306926999999998)"
nb,98,"(51.422891999999997, 5.5571359999999999)"
45,1,"(35.416356999999998, 127.390488)"
nd,896,"(46.877186000000002, -96.789803000000006)"
43,6,"(37.132581999999999, 128.19094799999999)"
40,10,"(37.038899999999998, 22.1142)"
cus,4,"(-13.525, -71.972222000000002)"
bns,1,"(29.066127000000002, 31.099385000000002)"
4,22,"(48.306939999999997, 14.285830000000001)"
cun,5,"(4.3383279999999997, -74.363968)"
wht,3,"(50.442725000000003, 4.4370310000000002)"
bih,4,"(44.200046999999998, 17.918782)"
mos,8,"(55.794113000000003, 37.933853999999997)"
mor,7,"(18.92184, -99.226613)"
mow,75,"(55.755825999999999, 37.6173)"
wbr,0,"(50.665725000000002, 4.5868120000000001)"
amu,0,"(50.258375999999998, 127.53488400000001)"
d,578,"(53.349805000000003, -6.2603099999999996)"
nay,4,"(21.50817, -104.895212)"
59,4,"(43.338700000000003, -1.7930999999999999)"
58,4,"(55.717199999999998, 21.1175)"
cz,0,"(38.909792000000003, 16.587651999999999)"
55,1,"(41.292782000000003, 36.33128)"
54,15,"(40.63935, 22.944606)"
57,5,"(54.898496000000002, 23.903542000000002)"
51,6,"(36.726700000000001, -4.4348000000000001)"
50,9,"(18.787742000000001, 98.993108000000007)"
53,6,"(14.463100000000001, 121.0547)"
52,8,"(42.1892, 0.3372)"
t,63,"(-26.808285000000001, -65.217590000000001)"
nw,665,"(52.021296, 8.5302970000000009)"
kda,1,"(45.041208000000012, 38.976446000000003)"
cs,5,"(39.298262999999999, 16.253736)"
b6,0,"(14.4778, 120.89319999999999)"
b7,1,"(54.898496000000002, 23.903542000000002)"
b1,0,"(45.8048, 0.93279999999999996)"
cr,12,"(45.364336999999999, 9.6824840000000005)"
tve,1,"(56.858721000000003, 35.917597000000001)"
b8,2,"(43.138300000000001, 6.3601999999999999)"
b9,2,"(45.583399999999997, 4.7981999999999996)"
per,1,"(58.013888999999999, 56.248888999999998)"
be,141,"(52.520006999999993, 13.404954)"
bg,30,"(45.521149999999999, 9.5951190000000004)"
ba,53,"(41.227252, 16.296641000000001)"
bc,812,"(55.759627000000002, -120.237662)"
bn,1,"(41.129761000000002, 14.782621000000001)"
bo,22,"(44.494886999999999, 11.342616)"
bh,1,"(47.072221999999996, 21.921111)"
bi,25,"(43.263013000000001, -2.9349850000000002)"
bk,0,"(47.024822, 19.555923)"
bt,0,"(47.746231000000002, 26.666809000000004)"
bu,43,"(47.497911999999999, 19.040234999999999)"
bv,1,"(45.655650999999999, 25.610800000000001)"
bw,269,"(49.487459000000001, 8.4660390000000003)"
br,21,"(52.752673999999999, 13.239451999999998)"
bs,114,"(45.541187000000001, 10.219443999999999)"
hsz,4,"(24.803944999999999, 120.964687)"
by,371,"(49.452030000000001, 11.076750000000001)"
bz,8,"(46.498294999999999, 11.354758)"
on,4607,"(43.589044999999999, -79.644120000000001)"
ol,8,"(49.593778, 17.250879000000001)"
ok,1232,"(35.497563, -97.268921000000006)"
oh,5969,"(41.081445000000002, -81.519005000000007)"
krs,0,"(51.709195999999999, 36.156224000000002)"
o,39,"(50.629249999999999, 3.0572560000000002)"
act,217,"(-35.281999999999996, 149.12868400000005)"
ow,0,"(46.903388999999997, 8.2758009999999995)"
ov,7,"(52.516775000000003, 6.0830219999999997)"
or,1095,"(45.523451999999999, -122.67620700000001)"
h9,3,"(40.434950000000001, 49.867623000000002)"
mbh,112,"(-41.513441999999998, 173.96125000000001)"
nsn,40,"(-41.270631999999999, 173.28396499999999)"
h2,0,"(53.7667, -2.7166999999999999)"
nsa,20,"(7.8941669999999986, -72.503889000000001)"
h4,0,"(52.633299999999998, -1.1333)"
son,4,"(29.073664000000001, -110.962585)"
yar,0,"(57.626074000000003, 39.884471000000012)"
nsw,3047,"(-33.867486999999997, 151.20698999999999)"
van,13,"(51.025875999999997, 4.4775359999999997)"
vac,46,"(3.8866109999999998, -77.070228999999998)"
pg,2,"(42.950868, 12.701475)"
hr,6,"(28.408912000000001, 77.317789000000005)"
jun,4,"(-12.066667000000001, -75.216667000000001)"
ka,83,"(12.971598999999999, 77.594562999999994)"
hh,89,"(53.551085, 9.9936820000000015)"
hi,259,"(21.335391000000001, -158.05689599999999)"
hb,33,"(53.079295999999999, 8.8016939999999995)"
ha,6,"(32.442785000000001, 34.920878000000002)"
he,185,"(50.334470000000003, 8.7561970000000002)"
pi,20,"(43.722839, 10.401688999999999)"
ut,1836,"(40.524671000000012, -111.863823)"
j,109,"(48.884830999999998, 2.26851)"
up,12,"(28.535516000000001, 77.391025999999997)"
ul,0,"(30.316493999999999, 78.032192000000023)"
ud,7,"(46.071066999999999, 13.234579)"
z,45,"(41.648791000000003, -0.88958099999999996)"
ac,0,"(63.825847000000003, 20.263034999999999)"
ab,2902,"(56.726380000000006, -111.380341)"
ag,6,"(47.3934, 8.04312)"
ak,79,"(61.218055999999997, -149.90027799999999)"
b3,0,"(14.609370999999999, -61.072560000000003)"
am,7,"(-3.118827, -60.021687)"
al,491,"(33.520660999999997, -86.802490000000006)"
ao,0,"(45.734954999999999, 7.3130759999999997)"
an,220,"(36.527061000000003, -6.2885960000000001)"
aq,0,"(42.349848000000001, 13.399509)"
ap,31,"(17.385044000000001, 78.486671000000001)"
ar,1036,"(36.062578999999999, -94.157426000000001)"
av,1,"(40.914384000000013, 14.790279999999999)"
kha,0,"(48.515783999999996, 135.10117099999999)"
az,1838,"(35.201352, -111.63924900000001)"
piu,3,"(-5.2000000000000002, -80.633332999999993)"
nh,1550,"(42.800643999999998, -71.304229000000007)"
ni,207,"(52.279910999999998, 8.0471789999999999)"
nj,3015,"(40.658420999999997, -74.299593000000002)"
nl,104,"(-29.857876000000001, 31.027581000000001)"
nm,497,"(35.528078000000001, -108.74258399999999)"
48,7,"(55.752200000000002, 37.615600000000001)"
no,2,"(45.446930000000002, 8.6221610000000002)"
46,4,"(31.596553000000004, 130.55711599999998)"
na,52,"(40.851775000000004, 14.268123999999998)"
44,46,"(39.555731999999999, 21.767895000000006)"
nc,13104,"(35.994033000000002, -78.898618999999997)"
42,4,"(32.750286000000003, 129.877667)"
ne,573,"(41.866634000000012, -103.66716599999999)"
nf,28,"(47.520640999999998, -52.807681999999993)"
41,94,"(40.775986000000003, 29.948357000000001)"
nar,13,"(1.207778, -77.277221999999995)"
ny,14188,"(40.714353000000003, -74.005972999999997)"
5,11,"(47.716771000000001, 13.484038999999999)"
84,0,"(40.183333000000012, 44.516666999999998)"
np,9,"(25.059999999999999, -77.344999999999999)"
gro,5,"(17.551535000000001, -99.500631999999996)"
ns,212,"(45.365772999999997, -63.286941000000013)"
nt,46,"(46.927500000000002, 26.370833000000001)"
nu,0,"(40.320231999999997, 9.3250469999999996)"
nv,440,"(36.255448999999999, -115.236283)"
oax,15,"(17.267562999999999, -97.680235999999994)"
080,47,"(57.456117000000006, 9.9956320000000005)"
vov,10,"(51.054341999999998, 3.7174239999999998)"
a1,52,"(37.983714999999997, 23.729310000000002)"
a3,1,"(47.8108, 1.6726000000000001)"
a2,0,"(48.045099999999998, -1.6006)"
a7,0,"(49.433300000000003, 1.0832999999999999)"
a6,1,"(42.010599999999997, 20.971399999999999)"
a8,3,"(48.866700000000002, 2.3332999999999999)"
bcn,11,"(32.488821000000002, -116.96169399999999)"
e,15,"(-32.484535000000001, -58.232142000000003)"
sve,3,"(56.399999999999999, 61.933332999999998)"
n9,0,"(51.5167, -1.7833000000000001)"
u,14,"(43.296481999999997, 5.3697800000000004)"
agu,4,"(21.885255999999998, -102.291568)"
bcs,0,"(22.890533000000001, -109.916737)"
n5,0,"(46.239749000000003, 15.267706)"
n7,0,"(51.133299999999998, -0.48330000000000001)"
